email,first_name,last_name,cf_id,company_name,description,end_date,Left of Goal
cecilia.velasco@rodrigues.fr,Cecilia,Velasco,147,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,2021-03-01,100.00
mariana.ellis@rossi.org,Mariana,Ellis,1621,Odom Inc,Managed bottom-line architecture,2021-05-25,1400.00
sofie.woods@riviere.com,Sofie,Woods,1812,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,2021-12-30,108400.00
jeanette.iannotti@yahoo.com,Jeanette,Iannotti,2156,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,2022-01-17,4200.00
samuel.sorgatz@gmail.com,Samuel,Sorgatz,1365,Larson-Little,Proactive foreground core,2021-08-23,7600.00
socorro.luna@hotmail.com,Socorro,Luna,2057,Harris Group,Open-source optimizing database,2021-08-29,7600.00
carolina.murray@knight.com,Carolina,Murray,1894,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,2021-05-11,5200.00
kayla.moon@yahoo.de,Kayla,Moon,2669,Carter-Guzman,Centralized cohesive challenge,2021-09-21,4500.00
ariadna.geisel@rangel.com,Ariadna,Geisel,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
danielle.ladeck@scalfaro.net,Danielle,Ladeck,970,"Rangel, Holt and Jones",Open-source fresh-thinking model,2021-08-31,6200.00
tatiana.thompson@hunt.net,Tatiana,Thompson,2340,Green Ltd,Monitored empowering installation,2021-08-02,5200.00
caleb.benavides@rubio.com,Caleb,Benavides,601,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,2021-06-26,6300.00
sandra.hardy@web.de,Sandra,Hardy,1950,Kim Ltd,Assimilated hybrid intranet,2021-04-09,6300.00
lotti.morris@yahoo.co.uk,Lotti,Morris,671,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,2021-11-06,4200.00
reinhilde.white@voila.fr,Reinhilde,White,1683,"Rodriguez, Rose and Stewart",Cloned directional synergy,2022-01-02,28200.00
kerry.patel@hutchinson.com,Kerry,Patel,505,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,2021-12-16,81200.00
sophie.antoine@andersen.com,Sophie,Antoine,1245,Hines Inc,Cross-platform systemic adapter,2021-12-22,1700.00
martha.girard@web.de,Martha,Girard,2550,Cochran-Nguyen,Seamless 4thgeneration methodology,2021-03-24,84600.00
stephanie.king@cervantes.com,Stephanie,King,875,Johnson-Gould,Exclusive needs-based adapter,2022-01-27,9100.00
amanda.palmer@didier.fr,Amanda,Palmer,2283,Perez-Hess,Down-sized cohesive archive,2021-11-17,62500.00
lina.alcala@vespa.net,Lina,Alcala,118,"Reeves, Thompson and Richardson",Proactive composite alliance,2021-04-09,131800.00
itzel.murphy@muelichen.de,Itzel,Murphy,711,Simmons-Reynolds,Re-engineered intangible definition,2021-04-29,94000.00
filippo.parry@live.com,Filippo,Parry,1747,Collier Inc,Enhanced dynamic definition,2021-08-04,59100.00
katelyn.cole@fiebig.com,Katelyn,Cole,1825,Gray-Jenkins,Devolved next generation adapter,2021-09-12,4500.00
brian.novak@ford.net,Brian,Novak,1019,"Scott, Wilson and Martin",Cross-platform intermediate frame,2021-10-01,92400.00
cilly.gay@callegaro.it,Cilly,Gay,821,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,2021-05-23,5500.00
yolanda.snyder@gmx.de,Yolanda,Snyder,2653,Spencer-Bates,Optional responsive customer loyalty,2021-07-27,107500.00
evelin.odonnell@ibarra.net,Evelin,Odonnell,2502,"Best, Carr and Williams",Diverse transitional migration,2021-10-15,2000.00
ingeborg.alba@hotmail.com,Ingeborg,Alba,325,"Campbell, Brown and Powell",Synchronized global task-force,2021-12-23,130800.00
marina.madrid@galarza-alba.com,Marina,Madrid,1345,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,2021-08-27,45900.00
sheila.goodwin@yahoo.com,Sheila,Goodwin,2303,Clark-Cooke,Down-sized analyzing challenge,2021-02-15,9000.00
valeria.rich@turchetta-mondadori.it,Valeria,Rich,2224,Schroeder Ltd,Progressive needs-based focus group,2021-02-05,3500.00
dustin.camacho@rhodes.org.au,Dustin,Camacho,1173,Jackson PLC,Ergonomic 6thgeneration success,2021-11-26,101000.00
amalia.marenzio@grupo.com,Amalia,Marenzio,210,"Blair, Collins and Carter",Exclusive interactive approach,2021-12-09,50200.00
gian.long@hotmail.com,Gian,Long,1546,Maldonado and Sons,Reverse-engineered asynchronous archive,2021-12-10,9300.00
stewart.hunt@anderson-vargas.biz,Stewart,Hunt,2871,Mitchell and Sons,Synergized intangible challenge,2021-03-25,125500.00
greca.ruiz@carr.co.uk,Greca,Ruiz,2034,Jackson-Lewis,Monitored multi-state encryption,2021-11-26,700.00
gerald.olivera@outlook.com,Gerald,Olivera,2677,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,2021-10-18,8100.00
jaqueline.wallace@gmail.com,Jaqueline,Wallace,1865,Maldonado-Gonzalez,Digitized client-driven database,2022-01-10,3100.00
john.lane@gregoire.fr,John,Lane,170,Kim-Rice,Organized bi-directional function,2021-05-01,9900.00
pero.joly@bernard.net,Pero,Joly,462,"Garcia, Garcia and Lopez",Reduced stable middleware,2021-03-18,8800.00
chad.turner@gmail.com,Chad,Turner,3122,Watts Group,Universal 5thgeneration neural-net,2021-07-08,5600.00
adam.zavala@guichard.fr,Adam,Zavala,1175,Werner-Bryant,Virtual uniform frame,2021-01-30,1800.00
tyler.rivera@guajardo-ozuna.com,Tyler,Rivera,2301,Schmitt-Mendoza,Profound explicit paradigm,2021-07-06,90200.00
jens.graham@jones-buckley.com,Jens,Graham,91,Reid-Mccullough,Visionary real-time groupware,2021-03-01,1600.00
virginia.caetani@sosa.biz,Virginia,Caetani,87,Woods-Clark,Networked tertiary Graphical User Interface,2021-03-20,9500.00
martino.wagner@laposte.net,Martino,Wagner,1482,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,2021-09-23,3700.00
martin.meyer@davis.co.uk,Martin,Meyer,1711,Bennett and Sons,Function-based multi-state software,2021-06-27,1500.00
marguerite.walls@martinez.fr,Marguerite,Walls,2294,Lamb Inc,Optimized leadingedge concept,2021-11-10,33300.00
peter.vogt@yahoo.com,Peter,Vogt,2389,Casey-Kelly,Sharable holistic interface,2022-01-30,7200.00
nicholas.christian@hotmail.de,Nicholas,Christian,378,"Jones, Taylor and Moore",Down-sized system-worthy secured line,2021-11-03,100.00
susi.steinberg@preiss.com,Susi,Steinberg,1213,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,2021-07-29,158100.00
tammy.ramazzotti@gmail.com,Tammy,Ramazzotti,29,"Hernandez, Rodriguez and Clark",Organic foreground leverage,2022-01-05,7200.00
abdul.thomas@vasari.com,Abdul,Thomas,2309,Smith-Jones,Reverse-engineered static concept,2021-12-24,8800.00
justin.luxardo@googlemail.com,Justin,Luxardo,2101,Roy PLC,Multi-channeled neutral customer loyalty,2021-05-24,6000.00
antonio.gibson@faust.net,Antonio,Gibson,1057,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,2021-11-29,6600.00
jeremy.gomez@oconnor.org,Jeremy,Gomez,2655,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,2021-05-22,8000.00
